,UID,Site,Country,State,Latitude,Longitude,Lat.Long.source,C14,SD,AMS,Material,Laboratory,Reference,Context,OBS,NEW,C14Cor,bp,optional
216,9999,Ba?ja,,Jordan,30.3167,35.4833,,8100,33,,,Bln-5123,,,,,,,
108,999,Babarkot,India,Gujarat,20.871828,71.407615,Google Earth,4130,90,No,Charcoal,PRL-1492,IAR91-92,"Sorath Harappan, Trench 26M, Locus SW + SEQUAD, Layer 4",HARAPPAN,Yes,NA,4655,TRUE
109,999,Balakot,Pakistan,Sind,25.447182,66.727038,L,4167,130,No,null,HAR-1992,S2,"Harappan levels, Harappan",HARAPPAN,Yes,NA,4683,TRUE
6,6,Balathal,India,Rajasthan,24.722644,74.00979,L,5770,100,No,Charcoal,PRL-1933,IAR95-96,"Chalcolithic, Trench OE, Layer 23, Locus SW","Chalco, but SWA pack",Yes,NA,6569,TRUE
7,7,Balu,India,Haryana,29.666667,76.366667,Google Earth,3990,30,Yes,Seed: Hordeum,Beta-427233,Liu et al. 2017,,Direct date on barley,Yes,NA,4474,TRUE
8,8,Banahalli,India,Karnataka,13.213368,77.911772,Google Earth,3780,70,null,Charcoal,PRL-1675,IAR94-95,,,,3780,4161,TRUE
110,999,Banawali,India,Haryana,29.618056,75.385,IAR96-97,3930,180,No,Charcoal,PRL-205,"S2, IAR75-76","Period II, Harappan, Trench ZB1, Layer 14",HARAPPAN,Yes,NA,4368,TRUE
141,9999,Bandar Jissa 1,,Oman,23.5514,58.6428,,5730,105,,,Hv-12975,,,,,,,
142,9999,"Bandar Khayran 1, 1",,Oman,23.5014,58.7325,,6610,105,,,Hv-10924,,,,,,,
111,999,Bara,India,Punjab,30.919915,76.522801,L,3840,92,No,Wood charcoal,TF-1205,"S2, IAR71-72","Lower levels, Kot Diji, Bara 5, Layer 9",KOT DIJI,Yes,NA,4246,TRUE
112,999,Barkhera,India,Madhya Pradesh,24.678541,75.223789,Google Earth,3265,105,No,Charcoal,PRL-111,"PR2, IAR74-75","Chalcolithic, Layers II-III",CHALCO,Yes,NA,3496,TRUE
9,9,Barudih,India,Jharkhand,22.75,85.95,AK,3010,200,null,null,TF-1100,"PR2, IAR71-72",,,,2925,3179,TRUE
217,9999,Basta,,Jordan,30.2333,35.5333,,8155,50,,,GrN-14538,,,,,,,
223,9999,Bawwab al-Ghazal,,Jordan,31.9667,35.7333,,8273,59,,,KN-5454,,,,,,,
213,9999,Beidha,,Jordan,30.37,35.43,,9030,50,,,GrN-5062,,,,,,,
174,9999,Belt Cave,,Iran,36.75,53.75,,7395,195,,,P-19a,,,,,,,
205,9999,Betzet 1,,Israel,33.0708,35.1361,,8330,100,,,RT-1394,,,,,,,
10,10,Bharatpur,India,West Bengal,23.883285,88.083905,Google Earth,3390,135,null,Charcoal,PRL-15,"PR2, IAR74-75",,,,3294,3644,TRUE
139,9999,Bir Bira 1,,Oman,22.6903,58.5469,,5850,115,,,Hv-10921,,,,,,,
11,11,Bog-i-No,Iran,Lorestan,33.466667,48.35,M,6200,140,null,Charcoal & ash,I-1492,M,,,,6200,7081,TRUE
